SITE ID,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LS 2016-17,2017,LS 2017-18,2018,LS 2018-19,2019,LS 2019-20,2020,LS 2020-21,2021,LS 2021-22,2022,LS 2022-23,2023,LS 2023-24,,
3002,Oxford & Alamar,Santa Cruz,,,,,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,0,,,,0,,,
2990,Palm Beach,Santa Cruz,,,,,,,,,,,,,,,,,,4,,171,,3,,0,,0,0,,,0,,0,0,,,,
2984,"Rispin Mansion,  Santa Cruz",Santa Cruz,,5,20,11,17,0,0,16,11,9,3,7,4,2,,9,0,,27,240,,6,,7,,12,,8,,,,13,0,66,,,
2988,"Seascape Golf Course, Aptos",Santa Cruz,,240,280,"1,050","1,400",4,,950,,"2,000",48,"1,560",23,"1,000",,"2,500",0,,"1,800","1,000",,100,,,,0,5,0,,700,32,500,,252,473,,
3005,"South Branciforte, Buena Vista",Santa Cruz,,2,27,24,23,0,0,75,48,32,5,8,7,2,,7,6,277,185,"1,980",,9,,20,,19,,19,,25,,22,,259,25,,
3008,UCSC Arboretum,Santa Cruz,,,,,,,,,,,,,,,,0,,9,,0,,0,,1,,,,,,0,,0,,,,,
2924,Andrew Molera State Park,Monterey,,,,,"4,470",917,"13,888","4,759","8,239","2,858",607,"4,903",155,"1,551","4,201","1,852",442,"2,835","5,620","2,327",,"5,100",130,3,0,10,0,0,,2,0,0,,1131,470,,
2940,Big Creek Preserve,Monterey,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,0,,0,,0,,,
3192,CH1 Private Site,Monterey,,,,,,,,,,,,,,,,,0,0,656,"4,646",0,"1,100",250,3,2,3,6,3,,"1,193","2,623",,,,,,
3230,CH2 Private Site,Monterey,,,,,,,,,,,,,,,,,,,62,0,,0,,,,,,0,,,,,,,,,
3248,Deer Flat Ranch,Monterey,,,,,,,,,,,,,,,,,,,,,,,,241,270,369,244,40,47,473,,"1,248",,558,,,
2927,Del Monte Road,Monterey,,,,,,,,,,,,,,,,,88,572,371,145,,142,0,1,0,0,0,0,0,0,,0,,1,0,,
2938,Elkhorn Slough Reserve,Monterey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3,,
3185,Los Padres National Forest/Caltrans Grove,Monterey,,,,,,,,,,,,,,,6,8,0,19,1,,,0,,3,0,0,0,0,,7,,0,,0,0,,
2921,McWay Canyon,Monterey,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0,0,0,,,,,,0,0,,
2943,"Moss Landing Middle School, Moss Landing",Monterey,,,,0,,,,,,,,,,,,,,,0,2,,0,,,,,,0,,0,,,,,,,
2931,Pacific Grove Golf Course,Monterey,,,,,,,,,,,,,,,,0,,,0,,,,,0,,0,0,0,0,0,,0,,0,0,,
2935,Pacific Grove Monarch Butterfly Sanctuary ,Monterey,"45,000","35,000","25,000","20,000","14,960","4,700","22,802","10,867","12,199","28,746","8,181","17,866",793,"4,968","12,265","10,790","13,420","18,128","11,472","17,100","4,520","7,350","6,050",815,685,642,316,0,0,"13,608","10,055","15,960","13,149",6608,5785,,
2926,"Palo Colorado, South of Carmel Highlands",Monterey,,,,0,300,0,33,10,0,0,1,0,,0,0,,3,14,3,0,,16,0,0,0,0,0,0,0,3,,0,,,,,
2941,"Plaskett Creek, South of Big Sur",Monterey,,,,0,95,23,"3,083",786,928,916,0,397,110,0,643,610,3,"1,021","4,400",12,,8,,5,20,14,0,0,0,16,,360,,13,2,,
3186,"Point Lobos State Park, Carmel Bay",Monterey,,"6,000",,,960,3,"4,306","1,198",14,"1,430",2,"1,274",6,39,791,117,486,0,0,0,,0,0,0,0,0,0,0,,,,0,,0,0,,
2925,Point Sur Lighthouse,Monterey,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,,0,,,,,,
3160,Prewitt Creek,Monterey,,,,,105,0,199,0,0,5,0,0,,0,0,,0,3,0,0,,0,,,,0,0,0,,0,,0,,,,,
2920,Private Property near Big Sur,Monterey,,,,,"10,313","5,950","21,918","32,536","16,132","14,203","6,629","5,333","3,671","2,076","9,821","15,671","21,329","32,914","5,202","39,753",,"19,741","3,780",819,29,"1,750",50,15,,"11,200","10,100","9,600",,8700,10600,,
2923,"Sycamore Canyon, Big Sur",Monterey,,,,,,,,,26,4,4,"1,290",0,0,0,,0,373,0,989,305,200,1,0,0,0,,0,0,0,,,,,,,
2934,"Washington Park, Pacific Grove",Monterey,,,,0,,,"2,750","4,325",2,"11,795",2,0,0,0,61,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,
3231,Yankee Point,Monterey,,,,,,,,,,,,,,,,,,,158,0,,,,,,,,0,,,,,,,,,
3085,"Alapay, North of Cayucos",San Luis Obispo,,,,"1,700",,,,,,,,,,,,,216,215,0,95,,"1,328","1,310",68,10,0,6,0,0,51,0,115,0,0,0,,
3173,Alexander/Abalone Farm,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,,,
3086,"Avila Golf Course, San Luis Obispo",San Luis Obispo,,,,"1,000","3,000",,,0,,,0,,,,,,20,,,,,,,,,,,,,17,1,6,0,38,38,,
3083,"Blacklake I, E of parking area, W of Entrance",San Luis Obispo,,,,,,,"4,723","3,250","2,442",0,0,"2,862","1,632","7,120","9,713",,0,253,0,0,,0,"3,000","1,084","1,385",42,509,4,,"3,065","1,553","2,942",670,2905,780,,
3089,"Blacklake II, NW end of meadow,  S of Lake",San Luis Obispo,,,,,"7,000","3,900","8,500","11,714","7,110","4,080","1,921","5,390","2,240","1,775","7,583",,"12,073","8,531","8,530","5,674",,"4,169",8,"1,425","1,325",741,846,5,,"14,780","9,594","13,035","7,341",7542,7205,,
3087,"Bowden Estates, San Luis Obispo",San Luis Obispo,,,,,200,5,950,50,25,49,1,0,4,3,4,0,0,20,8,34,,1,,0,0,0,,0,0,0,2,1,,,,,
3214,"Callendar Road, Arroyo Grande",San Luis Obispo,,,,,,,,,,,,,,,,,,799,"1,426",203,0,2,0,,52,15,12,2,0,"1,119","1,333","2,125",0,66,0,,
3058,"Camp Keep, Montana De Oro State Park",San Luis Obispo,"50,000","2,000","1,000","8,000","1,000",5,300,"1,050",0,0,0,825,0,0,0,,854,"2,563","2,105",674,,"2,870",,,,0,1,1,0,"1,299",5,333,0,772,665,,
3266,"Cayucos Creek Rd & Hwy 1, Cayucos",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,626",2,7063,,,
3232,Cypress Ridge Golf Course,San Luis Obispo,,,,,,,,,,,,,,,,,,,"1,104",0,,,,53,50,0,18,10,4,8,208,352,610,1172,722,,
3233,"Del Mar Park, Morro Bay",San Luis Obispo,,,,,,,,,,,,,,,,,,,"3,792","3,268",,261,0,0,0,0,0,3,0,87,48,"3,182",254,225,13,,
3263,"Delta Lane, Arroyo Grande Creek",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,0,131,,,
3057,"Eagle Rock, Morro Bay",San Luis Obispo,,,,"5,000",0,0,0,0,0,463,2,18,15,65,700,80,684,"2,410",0,705,,34,3,0,0,0,9,4,5,96,50,0,0,788,13,,
3046,Fiscalini Ranch ,San Luis Obispo,,,,,,,,,,,,,,,,,,,"20,750","5,618","1,866","1,812","3,315",323,"1,114",133,148,3,8,"1,709",53,"5,067",139,1235,26,,
3090,"French Hospital, San Luis Obispo",San Luis Obispo,,,,,,,,50,10,53,23,12,85,136,70,,7,,50,0,,197,0,0,,0,8,2,4,20,6,342,3,343,537,,
3262,"Hacienda Drive & Ocean Boulevard, Cayucos",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0,615,30,,
